Open,High,Low,Close,Volume,timestamp
245.39,245.9,245.0,245.22,32697,2025-02-24 04:00:00
245.26,245.29,245.1,245.2,17861,2025-02-24 05:00:00
245.21,245.27,241.55,243.8,340006,2025-02-24 06:00:00
243.86,244.4,243.46,243.88,172185,2025-02-24 07:00:00
243.9,246.0,241.5738,244.37,292062,2025-02-24 08:00:00
244.33,248.14,243.07,248.065,7387893,2025-02-24 09:00:00
248.08,248.86,244.8241,247.225,9076535,2025-02-24 10:00:00
247.22,248.32,246.27,248.0,4959229,2025-02-24 11:00:00
248.0,248.28,247.27,247.27,2581892,2025-02-24 12:00:00
247.27,248.22,247.22,247.98,3100347,2025-02-24 13:00:00
247.98,248.8,247.43,247.98,4424448,2025-02-24 14:00:00
247.965,248.23,246.82,247.23,6807237,2025-02-24 15:00:00
247.22,248.2,236.85,247.89,18577671,2025-02-24 16:00:00
247.891,265.1391,247.1,247.78,64103,2025-02-24 17:00:00
247.77,248.05,247.4,247.6,72912,2025-02-24 18:00:00
247.61,248.45,247.55,248.06,45649,2025-02-24 19:00:00
247.95,247.95,246.53,246.55,41125,2025-02-25 04:00:00
246.55,246.91,246.37,246.37,30765,2025-02-25 05:00:00
246.39,247.21,246.36,247.0,36016,2025-02-25 06:00:00
246.97,247.83,246.93,247.6,42262,2025-02-25 07:00:00
247.11,248.12,244.47,247.16,2155379,2025-02-25 08:00:00
247.17,249.52,246.61,247.825,5698621,2025-02-25 09:00:00
247.825,247.9,244.91,246.06,7408655,2025-02-25 10:00:00
246.09,250.0,245.65,249.542,6267082,2025-02-25 11:00:00
249.565,249.69,248.08,248.17,4384246,2025-02-25 12:00:00
248.18,248.84,247.73,248.14,2741743,2025-02-25 13:00:00
248.13,248.59,247.16,248.43,3490641,2025-02-25 14:00:00
248.42,248.54,246.045,247.05,5998896,2025-02-25 15:00:00
247.05,247.65,244.875,246.08,14113106,2025-02-25 16:00:00
246.4,258.8842,246.26,246.44,621281,2025-02-25 17:00:00
246.42,246.67,246.34,246.42,28401,2025-02-25 18:00:00
246.35,246.65,246.25,246.4695,32862,2025-02-25 19:00:00
246.5,246.87,245.79,245.85,32571,2025-02-26 04:00:00
245.89,246.27,245.61,246.25,20055,2025-02-26 05:00:00
246.21,246.28,245.57,245.6,19457,2025-02-26 06:00:00
245.61,246.4,245.6,245.94,45332,2025-02-26 07:00:00
246.6787,247.25,245.03,245.45,947950,2025-02-26 08:00:00
245.49,245.85,229.86,243.41,7944417,2025-02-26 09:00:00
243.42,244.62,242.01,242.19,5677647,2025-02-26 10:00:00
242.195,243.5,241.58,243.19,3984774,2025-02-26 11:00:00
243.23,243.89,241.4,241.55,3351309,2025-02-26 12:00:00
241.55,241.745,239.13,239.65,4545163,2025-02-26 13:00:00
239.64,240.3699,239.34,239.72,3050499,2025-02-26 14:00:00
239.72,240.81,239.525,240.31,5727580,2025-02-26 15:00:00
240.31,240.49,224.18,239.89,12920810,2025-02-26 16:00:00
239.85,240.5,229.9929,240.2,150085,2025-02-26 17:00:00
240.2,240.36,239.402,239.78,80468,2025-02-26 18:00:00
239.78,239.88,239.22,239.6,31254,2025-02-26 19:00:00
240.12,241.72,240.12,240.93,33530,2025-02-27 04:00:00
240.96,240.97,240.36,240.38,17709,2025-02-27 05:00:00
240.37,240.57,240.13,240.34,16786,2025-02-27 06:00:00
240.31,240.36,239.06,239.16,55880,2025-02-27 07:00:00
240.844,244.81,238.59,239.0381,4000686,2025-02-27 08:00:00
238.95,242.284,238.77,240.58,4773848,2025-02-27 09:00:00
240.62,241.8,238.47,241.24,4514287,2025-02-27 10:00:00
241.23,242.46,240.2501,240.435,3030790,2025-02-27 11:00:00
240.46,241.345,239.585,240.775,2174491,2025-02-27 12:00:00
240.82,242.19,240.76,241.61,2423350,2025-02-27 13:00:00
241.6001,241.76,239.54,239.71,3001472,2025-02-27 14:00:00
239.71,239.93,237.06,237.39,8508646,2025-02-27 15:00:00
237.38,237.74,236.88,237.31,13477047,2025-02-27 16:00:00
237.388,237.45,236.75,236.93,317432,2025-02-27 17:00:00
236.93,238.52,236.91,237.7,51144,2025-02-27 18:00:00
237.69,238.25,237.02,237.45,48392,2025-02-27 19:00:00
237.0,238.13,237.0,237.5,20879,2025-02-28 04:00:00
237.5,237.65,237.18,237.46,13795,2025-02-28 05:00:00
237.47,238.26,237.38,238.15,24489,2025-02-28 06:00:00
238.07,238.27,237.16,237.33,50200,2025-02-28 07:00:00
237.603,244.47,236.0,236.75,187719,2025-02-28 08:00:00
236.9153,237.41,230.2,236.74,6427297,2025-02-28 09:00:00
236.745,237.83,235.64,237.47,4978947,2025-02-28 10:00:00
237.485,237.68,236.48,237.09,3253390,2025-02-28 11:00:00
237.09,237.9,236.55,237.37,2902152,2025-02-28 12:00:00
237.3896,238.3083,236.23,237.04,3272471,2025-02-28 13:00:00
237.06,238.89,237.03,238.87,3458989,2025-02-28 14:00:00
238.85,242.09,238.79,241.84,10181879,2025-02-28 15:00:00
241.83,242.01,232.47,241.17,35240663,2025-02-28 16:00:00
241.17,242.28,226.1463,242.1,247920,2025-02-28 17:00:00
242.1,242.25,241.8,242.0487,34736,2025-02-28 18:00:00
242.03,242.1,241.61,241.61,28601,2025-02-28 19:00:00
242.0,242.48,241.05,241.53,49001,2025-03-03 04:00:00
241.53,241.6,241.39,241.49,24630,2025-03-03 05:00:00
241.49,241.6,241.33,241.46,27544,2025-03-03 06:00:00
241.54,241.64,241.17,241.51,94142,2025-03-03 07:00:00
241.31,242.51,240.66,241.4917,1534960,2025-03-03 08:00:00
241.56,244.0272,235.795,240.82,5584355,2025-03-03 09:00:00
240.84,242.47,239.825,241.2,5078665,2025-03-03 10:00:00
241.23,242.63,240.665,241.815,3209644,2025-03-03 11:00:00
241.81,242.99,240.9464,242.33,2510602,2025-03-03 12:00:00
242.31,242.36,240.44,241.32,3802571,2025-03-03 13:00:00
241.31,242.02,239.88,240.29,3501935,2025-03-03 14:00:00
240.295,240.295,236.112,238.14,9637063,2025-03-03 15:00:00
238.17,239.9239,223.4856,239.202,18338730,2025-03-03 16:00:00
239.2,239.27,224.0301,238.58,111397,2025-03-03 17:00:00
238.56,239.25,238.14,238.15,56438,2025-03-03 18:00:00
238.2377,240.5,238.15,240.33,53718,2025-03-03 19:00:00
238.42,239.35,238.29,238.32,44902,2025-03-04 04:00:00
238.32,238.56,237.76,238.3,32560,2025-03-04 05:00:00
238.21,238.85,238.1,238.4,24324,2025-03-04 06:00:00
238.38,238.78,237.21,237.44,116596,2025-03-04 07:00:00
238.6062,239.86,236.7267,237.6937,387695,2025-03-04 08:00:00
237.69,241.975,236.0,236.63,7255364,2025-03-04 09:00:00
236.61,239.81,236.34,239.09,8062012,2025-03-04 10:00:00
239.09,240.07,237.65,239.08,5738317,2025-03-04 11:00:00
239.14,239.25,236.25,236.58,4246302,2025-03-04 12:00:00
236.605,238.03,236.16,237.89,3644126,2025-03-04 13:00:00
237.89,238.7736,237.44,238.31,3484935,2025-03-04 14:00:00
238.31,239.25,234.68,236.07,8972955,2025-03-04 15:00:00
235.9305,237.61,224.4959,236.99,19796797,2025-03-04 16:00:00
236.99,247.6583,224.4959,237.4899,605183,2025-03-04 17:00:00
237.49,238.4988,237.22,238.01,54200,2025-03-04 18:00:00
237.9465,238.2488,237.15,237.63,36708,2025-03-04 19:00:00
237.92,237.92,236.89,237.54,29586,2025-03-05 04:00:00
237.56,237.65,236.9,236.99,21348,2025-03-05 05:00:00
236.99,237.08,236.15,236.62,21562,2025-03-05 06:00:00
236.71,236.98,236.23,236.42,21621,2025-03-05 07:00:00
236.49,239.73,235.93,236.282,429809,2025-03-05 08:00:00
236.3493,236.7,231.04,231.77,6399771,2025-03-05 09:00:00
