Open,High,Low,Close,Volume,timestamp
261.2,263.45,261.2,262.54,689,2025-02-24 04:00:00
262.71,263.13,262.3,262.98,321,2025-02-24 05:00:00
262.79,263.95,262.79,263.17,504,2025-02-24 06:00:00
263.17,263.45,262.46,263.28,2379,2025-02-24 07:00:00
263.12,264.46,260.75,262.11,4747,2025-02-24 08:00:00
262.14,263.2499,260.49,261.2,373493,2025-02-24 09:00:00
261.155,262.29,259.58,260.72,459670,2025-02-24 10:00:00
260.74,263.6199,260.72,262.82,299200,2025-02-24 11:00:00
262.86,263.845,262.84,263.0244,254023,2025-02-24 12:00:00
262.99,263.42,262.6198,262.74,196391,2025-02-24 13:00:00
262.88,262.97,262.335,262.42,201536,2025-02-24 14:00:00
262.45,263.53,261.88,261.93,887341,2025-02-24 15:00:00
262.01,263.485,259.0,262.62,3179198,2025-02-24 16:00:00
261.5225,262.4,259.2897,261.3562,1503,2025-02-24 17:00:00
262.4,262.4,259.0,261.78,733569,2025-02-24 18:00:00
261.87,262.51,259.0,262.5,733872,2025-02-24 19:00:00
261.9,262.47,261.87,262.04,2799,2025-02-25 04:00:00
261.7,261.72,261.0,261.14,261,2025-02-25 05:00:00
261.58,261.6,261.14,261.49,700,2025-02-25 06:00:00
261.49,262.0,261.4,261.89,818,2025-02-25 07:00:00
261.49,263.8988,260.7615,260.9,4893,2025-02-25 08:00:00
261.18,263.29,259.9,261.3758,414937,2025-02-25 09:00:00
261.505,261.64,258.9,261.1614,696544,2025-02-25 10:00:00
261.2,263.29,260.38,263.02,489397,2025-02-25 11:00:00
262.95,263.48,261.92,263.28,1278766,2025-02-25 12:00:00
263.28,263.39,261.06,261.83,401940,2025-02-25 13:00:00
261.84,262.05,259.2,260.32,430254,2025-02-25 14:00:00
260.245,261.0467,256.77,257.68,1198406,2025-02-25 15:00:00
257.74,262.625,257.5,259.01,2782104,2025-02-25 16:00:00
259.01,263.0,257.75,259.27,6301,2025-02-25 17:00:00
259.01,263.5,257.75,258.92,708032,2025-02-25 18:00:00
257.75,259.5,257.75,258.0472,708074,2025-02-25 19:00:00
257.78,259.6,257.13,259.25,3389,2025-02-26 04:00:00
259.35,259.81,259.25,259.37,404,2025-02-26 05:00:00
259.37,259.73,259.14,259.32,1346,2025-02-26 06:00:00
259.32,259.61,259.23,259.54,6017,2025-02-26 07:00:00
259.73,260.0,256.93,258.64,6470,2025-02-26 08:00:00
258.4,259.25,254.725,257.15,392523,2025-02-26 09:00:00
257.37,258.3099,256.7427,257.58,375644,2025-02-26 10:00:00
257.63,257.82,256.69,257.18,328973,2025-02-26 11:00:00
257.22,257.55,255.05,255.265,307458,2025-02-26 12:00:00
255.24,255.6,254.48,254.76,362914,2025-02-26 13:00:00
254.76,256.99,254.4104,255.84,432449,2025-02-26 14:00:00
255.81,257.01,255.53,255.97,675884,2025-02-26 15:00:00
255.97,258.0,252.1752,255.8,1422977,2025-02-26 16:00:00
255.5344,258.0,255.5,257.25,652,2025-02-26 17:00:00
257.25,257.8,255.84,257.8,428957,2025-02-26 18:00:00
255.84,257.7988,255.8,255.8,429840,2025-02-26 19:00:00
256.71,256.8,256.15,256.15,372,2025-02-27 04:00:00
256.38,256.65,255.94,256.3,127,2025-02-27 05:00:00
256.29,256.55,256.07,256.07,59,2025-02-27 06:00:00
256.48,256.63,256.1,256.1,1478,2025-02-27 07:00:00
256.07,258.52,255.0,255.1,1953,2025-02-27 08:00:00
256.4,256.79,253.59,254.7101,371889,2025-02-27 09:00:00
254.9,257.63,254.19,256.49,405165,2025-02-27 10:00:00
256.49,257.37,255.27,255.355,282857,2025-02-27 11:00:00
255.39,255.71,254.48,255.27,260333,2025-02-27 12:00:00
255.33,256.7,255.29,256.045,275749,2025-02-27 13:00:00
256.082,256.2,253.92,254.32,335270,2025-02-27 14:00:00
254.315,254.66,253.05,253.33,889431,2025-02-27 15:00:00
253.33,256.0,251.0,253.7,1529630,2025-02-27 16:00:00
253.3175,253.95,251.18,252.67,94748,2025-02-27 17:00:00
252.95,256.0,252.01,252.6,486637,2025-02-27 18:00:00
253.23,253.23,252.01,252.5,486365,2025-02-27 19:00:00
253.5,254.84,253.0,253.76,915,2025-02-28 04:00:00
253.8,253.83,253.47,253.73,439,2025-02-28 05:00:00
253.62,253.94,253.52,253.92,721,2025-02-28 06:00:00
253.62,254.58,253.56,253.75,2647,2025-02-28 07:00:00
253.276,255.0988,253.23,253.91,3503,2025-02-28 08:00:00
254.275,254.275,246.54,248.195,1039219,2025-02-28 09:00:00
248.195,251.13,247.9965,250.23,445102,2025-02-28 10:00:00
250.1275,250.53,248.5,250.16,366101,2025-02-28 11:00:00
250.23,250.61,247.84,248.0,440707,2025-02-28 12:00:00
247.99,249.59,247.56,247.68,504106,2025-02-28 13:00:00
247.69,249.76,247.5,249.33,507231,2025-02-28 14:00:00
249.385,252.8099,249.3675,252.57,1118363,2025-02-28 15:00:00
252.46,252.99,250.2,251.94,8354229,2025-02-28 16:00:00
251.1995,252.44,250.2,252.02,113,2025-02-28 17:00:00
252.24,252.44,252.01,252.1,2397257,2025-02-28 18:00:00
252.44,252.59,252.0,252.5,2397646,2025-02-28 19:00:00
252.03,252.86,251.66,252.86,334,2025-03-03 04:00:00
252.8,252.96,252.47,252.62,409,2025-03-03 05:00:00
252.5,252.84,252.5,252.64,124,2025-03-03 06:00:00
252.64,253.81,252.55,253.02,940,2025-03-03 07:00:00
